vvweight_post,person_of_color,college,female,medicare_expand,vote_wait,votereg_problem
1.1319788,1,0,1,1,,0
2.1515212,0,0,0,0,,0
.95833661,0,0,0,0,,0
.42950936,0,0,0,1,,0
.44595418,1,1,0,1,,0
1.1031853,1,1,1,1,,0
.39800195,0,0,0,1,,0
.91957413,0,0,1,1,,0
1.7074205,0,0,1,1,,0
1.3397907,1,1,1,1,,0
1.233546,1,1,1,0,,0
.229526,1,1,1,1,,0
1.8700345,0,1,1,1,,0
.72101134,0,0,1,1,,0
.51075677,0,0,1,0,,0
1.6035154,0,0,0,0,,0
1.1823968,0,0,1,1,,0
.63979904,0,0,1,1,,0
.71346349,0,0,1,1,0,0
2.0202906,1,0,0,1,15,0
1.8827136,0,1,0,1,,0
.24771116,1,1,1,1,,0
1.2687089,0,1,1,1,,0
.37977363,0,0,1,0,,0
.08440855,1,0,1,1,,0
.57876042,0,0,1,1,,0
.6802944,0,1,1,1,,0
.56531048,1,1,0,1,,0
.52401275,0,1,0,1,,0
